# name,mass,star_name,ra,dec
WASP-70 A b,"0,59",WASP-70 A,"315,475000018","-13,433333355"
WASP-69 b,"0,26",WASP-69,"315,025000002","-5,094444455"
18 Del b,"10,3",18 Del,"314,6083333","10,8391667"
WASP-133 b,"1,16",WASP-133,"314,575000006","-35,796666693"
KELT-16 b,"2,75",KELT-16,"314,268479168","31,6609916885"
WASP-89 b,"5,9",WASP-89,"313,900000012","-18,971111134"
WASP-94 B b,"0,618",WASP-94 B,"313,78816667","-34,1355277822"
WASP-94 A b,"0,452",WASP-94 A,"313,783083336","-34,1355277822"
HATS-14 b,"1,071",HATS-14,"313,216666684","-25,687222239"
PSR J2051-0827 b,"28,3",PSR J2051-0827,"312,783333336","-8,460555573"
HATS-3 b,"1,071",HATS-3,"312,4583","-24,4289"
HATS-15 b,"2,17",HATS-15,"311,092500007","-19,4375277898"
WASP-7 b,"0,96",WASP-7,"311,0416667","-39,2252778"
HD 196067 b,"6,9",HD 196067,"310,4333333","-75,3508333"
WASP-53 b,"2,132",WASP-53,"31,9092500127","-20,661944467"
WASP-53 c,"16,35",WASP-53,"31,9092500127","-20,661944467"
alf Ari b,"1,8",alf Ari,"31,7916667","23,4622222"
HD 12661 b,"2,3",HD 12661,"31,1416667","25,4141667"
HD 12661 c,"1,57",HD 12661,"31,1416667","25,4141667"
HAT-P-32 b,"0,941",HAT-P-32,"31,04166667","46,6877778"
HD 196885 A b,"2,98",HD 196885 A,"309,9625","11,2494444"
HD 197037 b,"0,79",HD 197037,"309,8875","42,2486111"
WASP-88 b,"0,56",WASP-88,"309,512500001","-47,538055537"
HD 196050 b,"2,83",HD 196050,"309,4625","-60,6344444"
WASP-2 b,"0,847",WASP-2,"307,725","6,4294444"
HD 195019 b,"3,7",HD 195019,"307,0708333","18,77"
HAT-P-23 b,"2,09",HAT-P-23,"306,125","16,7622222"
WASP-110 b,"0,515",WASP-110,"305,87500001","-44,058333341"
HAT-P-49 b,"1,73",HAT-P-49,"305,441666682","26,692777799"
TrES-5 ,"1,778",TrES-5,"305,2208333","59,4491667"
WASP-68 b,"0,95",WASP-68,"305,095763341","-19,3146925178"
WASP-74 b,"0,97",WASP-74,"304,54166667","-1,075833342"
WASP-81 b,"0,729",WASP-81 ,"304,207875017","3,2940833476"
WASP-81 c,"56,6",WASP-81 ,"304,207875017","3,2940833476"
HD 192699 b,"2,5",HD 192699,"304,025","4,5808333"
GJ 785 b,"0,0532",GJ 785,"303,8208333","-27,0330556"
GJ 785 c,"0,076",GJ 785,"303,8208333","-27,0330556"
HD 192263 b,"0,733",HD 192263,"303,5","-0,8669444"
Qatar-1 b,"1,33",Qatar-1,"303,3833333","65,1619444"
HAT-P-34 b,"3,328",HAT-P-34,"303,1958333","18,105"
WASP-80 b,"0,554",WASP-80,"303,1667","-2,1456"
HD 190984 b,"3,1",HD 190984,"302,8791667","-64,6205556"
HD 191806 b,"8,52",HD 191806,"302,367916676","52,2763305686"
HD 190647 b,"1,9",HD 190647,"301,8333333","-35,5386111"
HD 189567 b,"0,0316",HD 189567,"301,3875","-67,3208333"
HD 190360 b,"1,495",HD 190360,"300,9041667","29,8966667"
HD 190360 c,"0,06381",HD 190360,"300,9041667","29,8966667"
Kepler-106 b,"0,00047",Kepler-106,"300,863958342","44,3375555656"
Kepler-106 c,"0,03285",Kepler-106,"300,863958342","44,3375555656"
Kepler-106 d,"0,025",Kepler-106,"300,863958342","44,3375555656"
Kepler-106 e,"0,03514",Kepler-106,"300,863958342","44,3375555656"
HD 190228 b,"65,7",HD 190228,"300,75","28,3066667"
Kepler-79 b,"0,034285",Kepler-79,"300,51712","44,38158"
Kepler-79 c,"0,018558",Kepler-79,"300,51712","44,38158"
Kepler-79 d,"0,018872",Kepler-79,"300,51712","44,38158"
Kepler-79 e,"0,0129",Kepler-79,"300,51712","44,38158"
HD 189733 b,"1,142",HD 189733,"300,1791667","22,7108333"
Kepler-44 b,"1,02",Kepler-44,"300,1041667","45,7622222"
HD 12484 b,"2,98",HD 12484,"30,612500009","2,815833362"
HD 1160 b,79,HD 1160,"3,9875","4,2511111"
WASP-32 b,"3,6",WASP-32,"3,9625","1,2005556"
WASP-44 b,"0,889",WASP-44,"3,9041667","-11,9380556"
HD 984 b,65,HD 984,"3,54166667","-7,199166683"
PSR B1957+20 b,22,PSR B1957+20,"299,904166679","20,804166686"
KIC 7917485 b,"11,8",KIC 7917485,"299,434583348","43,6326111362"
Kepler-5 b,"2,114",Kepler-5,"299,4083333","44,035"
Kepler-305 b,"0,0356",Kepler-305,"299,225","40,3431"
Kepler-305 c,"0,0192",Kepler-305,"299,225","40,3431"
Kepler-48 b,"0,0124",Kepler-48,"299,1375","40,9489"
Kepler-48 c,"0,04597",Kepler-48,"299,1375","40,9489"
Kepler-48 d,"0,025",Kepler-48,"299,1375","40,9489"
Kepler-48 e,"2,067",Kepler-48,"299,1375","40,9489"
Kepler-539 b,"0,97",Kepler-539,"299,120833343","41,866666684"
Kepler-539 c,"2,4",Kepler-539,"299,120833343","41,866666684"
Kepler-445 b,"0,02",Kepler-445,"298,737500019","46,498611133"
Kepler-445 c,"0,027",Kepler-445,"298,737500019","46,498611133"
Kepler-445 d,"0,011",Kepler-445,"298,737500019","46,498611133"
Kepler-424 b,"1,03",Kepler-424,"298,624958343","48,57745002"
Kepler-424 c,"6,97",Kepler-424,"298,624958343","48,57745002"
ksi Aql b,"2,02",ksi Aql,"298,5625","8,4613889"
Kepler-17 b,"2,45",Kepler-17,"298,3958333","47,815"
Kepler-29 b,"0,0142",Kepler-29,"298,35","47,4911111"
Kepler-29 c,"0,013",Kepler-29,"298,35","47,4911111"
Kepler-64 (AB) b,"0,53",Kepler-64 (AB),"298,2167","39,955"
Kepler-1647 (AB) b,"1,52",Kepler-1647 (AB),"298,150000012","40,656111129"
Kepler-18 b,"0,021615328949438",Kepler-18,"298,0791667","44,7463889"
Kepler-18 c,"0,054116980775887",Kepler-18,"298,0791667","44,7463889"
Kepler-18 d,"0,051285278293427",Kepler-18,"298,0791667","44,7463889"
HD 188015 b,"1,26",HD 188015,"298,0166667","28,1002778"
Kepler-87 b,"1,02",KOI-1574,"297,9167","46,965"
Kepler-87 c,"0,0201",KOI-1574,"297,9167","46,965"
Kepler-32 b,"4,1",Kepler-32,"297,8416667","46,5741667"
Kepler-32 c,"0,5",Kepler-32,"297,8416667","46,5741667"
Kepler-307 b,"0,0234",Kepler-307,"297,7958","40,4178"
Kepler-307 c,"0,01147",Kepler-307,"297,7958","40,4178"
HAT-P-11 b,"0,0824340056005",HAT-P-11,"297,7083333","48,0808333"
Kepler-433 b,"2,82",Kepler-433,"297,5916667","40,9772222"
Kepler-289 b,"0,023",Kepler-289,"297,4653321","42,882851"
Kepler-289 c,"0,013",Kepler-289,"297,4653321","42,882851"
Kepler-289 d,"0,415",Kepler-289,"297,4653321","42,882851"
Kepler-448 b,10,KOI-12,"297,453716683","41,010997231"
HD 187085 b,"0,75",HD 187085,"297,3875","-37,7805556"
Kepler-89 b,"0,033",KOI-94,"297,3333","41,8911"
Kepler-89 c,"0,049",KOI-94,"297,3333","41,8911"
Kepler-89 d,"0,164",KOI-94,"297,3333","41,8911"
Kepler-89 e,"0,041",KOI-94,"297,3333","41,8911"
HAT-P-41 b,"0,8",HAT-P-41,"297,3208","4,6725"
Kepler-11 b,"0,00597803857408",Kepler-11,"297,1166667","41,9091667"
Kepler-11 c,"0,0091243746657",Kepler-11,"297,1166667","41,9091667"
Kepler-11 d,"0,0229682534688",Kepler-11,"297,1166667","41,9091667"
Kepler-11 e,"0,03",Kepler-11,"297,1166667","41,9091667"
Kepler-11 f,"0,00629267218324",Kepler-11,"297,1166667","41,9091667"
Kepler-11 g,"0,95",Kepler-11,"297,1166667","41,9091667"
Kepler-96 b,"0,027",Kepler-96,"297,069625006","40,525138906"
KOI-2700 b,"0,00270584903879",KOI-2700,"297,004166667","44,775000022"
Kepler-39 b,18,Kepler-39,"296,9583333","46,0344444"
Kepler-6 b,"0,669",Kepler-6,"296,8375","48,24"
Kepler-40 b,"2,2",Kepler-40,"296,8125","47,5266667"
HD 187123 b,"0,52",HD 187123,"296,7375","34,4208333"
HD 187123 c,"1,99",HD 187123,"296,7375","34,4208333"
HATS-35 b,"1,222",HATS-35,"296,687500015","-63,565555579"
KOI-620.02,"0,0239121542963",Kepler-51,"296,4792","49,9378"
Kepler-51 b,"0,0066073057924",Kepler-51,"296,4792","49,9378"
Kepler-51 c,"0,0125853443665",Kepler-51,"296,4792","49,9378"
Kepler-34 (AB)  b,"0,219928892804",Kepler-34 (AB),"296,4375","44,6416667"
HIP 97233 b,20,HIP 97233,"296,420833347","-0,696666691"
Kepler-58 b,"1,39",Kepler-58,"296,3583","39,1153"
Kepler-58 c,"2,19",Kepler-58,"296,3583","39,1153"
Kepler-70  b,"0,014",KOI-55,"296,3541667","41,0927778"
Kepler-70 c,"0,0021",KOI-55,"296,3541667","41,0927778"
Kepler-15 b,"0,66",Kepler-15,"296,200604183","49,1400944525"
Kepler-396 b,"0,22",Kepler-396,"296,1333","48,8106"
Kepler-396 c,"0,053",Kepler-396,"296,1333","48,8106"
Kepler-80 b,"0,0218",Kepler-80,"296,1125","39,9788889"
Kepler-80 c,"0,0212",Kepler-80,"296,1125","39,9788889"
Kepler-80 d,"0,0212",Kepler-80,"296,1125","39,9788889"
Kepler-80 e,"0,013",Kepler-80,"296,1125","39,9788889"
WASP-67 b,"0,42",WASP-67,"295,7458333","-19,9494444"
16 Cyg B b,"1,68",16 Cyg B,"295,4625","50,5175"
Kepler-1625 b,10,Kepler-1625,"295,429347","39,886547"
Kepler-419 b,"2,5",KOI-1474,"295,4166667","51,1847222"
Kepler-419 c,"7,3",KOI-1474,"295,4166667","51,1847222"
Kepler-197 c,"0,017",Kepler-197,"295,2264405","50,559006"
HATS-8 b,"0,138",HATS-8,"294,941666682","-25,74833336"
KELT-20 b,"3,518",HD 185603,"294,661396263","31,2192261175"
2M 1938+46 b,"1,9",2M  1938+46,"294,637500011","46,066388903"
HATS-33 b,"1,192",HATS-33,"294,633333344","-55,330000017"
Kepler-41  b,"0,49",Kepler-41,"294,5125","45,9816667"
Kepler-35 (AB) b,"0,126797344492",Kepler-35 (AB),"294,4958333","46,69"
KOI-1089.02,"0,64",Kepler-418,"294,433333348","38,355555567"
Kepler-418 b,"1,1",Kepler-418,"294,433333348","38,355555567"
HATS-10 b,"0,526",HATS-10,"294,308333338","-22,204444452"
HD 185269 b,"0,94",HD 185269,"294,3","28,5"
Kepler-23 b,"0,0478",Kepler-23,"294,2166667","49,4791667"
Kepler-23 c,"0,189",Kepler-23,"294,2166667","49,4791667"
Kepler-23 d,"0,055",Kepler-23,"294,2166667","49,4791667"
Kepler-76 b,"1,96",Kepler-76,"294,1917","39,6189"
Kepler-67 b,"0,31",Kepler-67,"294,1542","46,1664"
Kepler-114 b,"0,0220243526413",Kepler-114,"294,1208","48,3494"
Kepler-114 c,"0,125853443665",Kepler-114,"294,1208","48,3494"
Kepler-114 d,"0,0151",Kepler-114,"294,1208","48,3494"
Kepler-31 c,"4,7",Kepler-31,"294,025","45,8530556"
WTS-1 b,"4,01",WTS-1,"293,9917","36,2903"
Kepler-66 b,"0,31",Kepler-66,"293,9833","46,6878"
Kepler-56 b,"0,07",Kepler-56,"293,7583","41,8719"
Kepler-56 c,"0,569",Kepler-56,"293,7583","41,8719"
Kepler-56 d,"5,61",Kepler-56,"293,7583","41,8719"
Kepler-78 b,"0,00531730799484",Kepler-78,"293,7417","44,4483"
WTS-2 b,"1,12",WTS-2,"293,733333352","36,815555584"
Kepler-409 b,"0,0692",Kepler-409,"293,679208348","46,852777797"
Kepler-57 b,"18,86",Kepler-57,"293,6417","44,6569"
Kepler-57 c,"6,95",Kepler-57,"293,6417","44,6569"
Kepler-434 b,"2,86",Kepler-434,"293,58637084","42,9289111392"
Kepler-276 c,"0,045",Kepler-276,"293,5667","39,0364"
Kepler-276 d,"0,044",Kepler-276,"293,5667","39,0364"
KOI-415 b,"62,14",KOI-415,"293,306050004","41,6063722393"
KOI-1299 c,"2,63",Kepler-432,"293,283333336","48,285833341"
Kepler-432 b,"5,41",Kepler-432,"293,283333336","48,285833341"
Kepler-74 b,"0,68",Kepler-74,"293,0916667","41,3555556"
HD 231701 b,"1,08",HD 231701,"293,0166667","16,4741667"
Kepler-45 b,"0,505",Kepler-45,"292,875","41,0641667"
Kepler-423 b,"0,595",Kepler-423,"292,855666675","46,3911777917"
Kepler-167 d,"0,006",Kepler-167,"292,65844725","38,345413"
Kepler-167 e,4,Kepler-167,"292,65844725","38,345413"
Kepler-435 b,"0,84",Kepler-435,"292,2875","43,1972222"
HAT-P-7 b,"1,741",HAT-P-7,"292,2458333","47,9694444"
Kepler-27 b,"9,11",Kepler-27,"292,2375","41,0858333"
Kepler-27 c,"13,8",Kepler-27,"292,2375","41,0858333"
Kepler-42 b,"0,009",Kepler-42,"292,2208333","44,6194444"
Kepler-42 c,"0,006",Kepler-42,"292,2208333","44,6194444"
Kepler-42 d,"0,003",Kepler-42,"292,2208333","44,6194444"
Kepler-28 b,"1,51",Kepler-28,"292,1375","42,4294444"
Kepler-28 c,"1,36",Kepler-28,"292,1375","42,4294444"
HD 183263 b,"3,67",HD 183263,"292,1","8,3577778"
HD 183263 c,"3,82",HD 183263,"292,1","8,3577778"
CoRoT-3 b,"21,77",CoRoT-3,"292,0541667","0,1219444"
Kepler-406 b,"0,02",Kepler-406,"291,848041675","44,9682222428"
Kepler-406 c,"0,00853",Kepler-406,"291,848041675","44,9682222428"
CoRoT-2 b,"3,31",CoRoT-2,"291,7791667","1,3838889"
CoRoT-8 b,"0,215838655885",CoRoT-8,"291,5875","1,4266667"
HAT-36 b,"2,79",HATS-36,"291,478500018","-23,202777784"
Kepler-93 b,"0,0126",Kepler-93,"291,420833347","38,672500018"
Kepler-145 b,"0,108",Kepler-145,"291,3875","44,5292"
Kepler-145 c,"0,234",Kepler-145,"291,3875","44,5292"
Kepler-100 b,"0,0231",Kepler-100,"291,385833344","41,990000025"
Kepler-100 c,"0,0027",Kepler-100,"291,385833344","41,990000025"
Kepler-100 d,"0,0094",Kepler-100,"291,385833344","41,990000025"
HD 181433 b,"0,0238",HD 181433,"291,2916667","-66,4688889"
HD 181433 c,"0,64",HD 181433,"291,2916667","-66,4688889"
HD 181433 d,"0,54",HD 181433,"291,2916667","-66,4688889"
Kepler-36 b,"0,014032658968631",Kepler-36,"291,25","49,2319444"
Kepler-36 c,"0,0254149",Kepler-36,"291,25","49,2319444"
Kepler-420 A b,"1,45",Kepler-420 A,"291,225000018","44,594166687"
WASP-48 b,"0,98",WASP-48,"291,1625","55,4730556"
Kepler-88 b,"0,0273731239971",Kepler-88,"291,15","40,6694"
Kepler-88 c,"0,626869808164",Kepler-88,"291,15","40,6694"
Kepler-75 b,"9,9",Kepler-75,"291,1375","36,5775"
CoRoT-10 b,"2,75",CoRoT-10,"291,0625","0,7461111"
Kepler-68 b,"0,0188",Kepler-68,"291,033333336","49,040277784"
Kepler-68 c,"0,00686",Kepler-68,"291,033333336","49,040277784"
Kepler-68 d,"0,84",Kepler-68,"291,033333336","49,040277784"
Kepler-85 b,"0,0465",Kepler-85,"290,975","45,2903"
Kepler-85 c,"0,059",Kepler-85,"290,975","45,2903"
KIC 12557548 b,"6,30E-05",KIC 12557548,"290,9667","51,5047"
GJ 758 b,45,GJ 758,"290,8916667","33,2219444"
HATS-9 b,"0,839",HATS-9,"290,808333338","-20,149722238"
HD 181720 b,12,HD 181720,"290,7208333","-32,9191667"
HR 7329,35,HR 7329,"290,712500017","-54,423888903"
KOI-830 b,"1,27",KOI-830,"290,58333334","40,57750002"
KIC 5095269(AB) b,"7,698",KIC 5095269(AB),"290,551941671","40,2350222282"
Kepler-53 b,"18,41",Kepler-53,"290,4625","40,5625"
Kepler-53 c,"15,75",Kepler-53,"290,4625","40,5625"
Kepler-19 b,"0,026",Kepler-19,"290,4208333","37,8516667"
Kepler-19 c,"0,0412",Kepler-19,"290,4208333","37,8516667"
Kepler-19 d,"0,0708",Kepler-19,"290,4208333","37,8516667"
Kepler-24 b,"1,6",Kepler-24,"290,4125","38,3438889"
Kepler-24 c,"1,6",Kepler-24,"290,4125","38,3438889"
Kepler-109 b,"0,0041",Kepler-109,"290,392708345","40,284861118"
Kepler-109 c,"0,00698",Kepler-109,"290,392708345","40,284861118"
Kepler-138 b,"0,00021",KOI-314,"290,383333344","43,293055569"
Kepler-138 c,"0,00318",KOI-314,"290,383333344","43,293055569"
Kepler-138 d,"0,00317779945254",KOI-314,"290,383333344","43,293055569"
KOI-188 b,"0,25",KOI-188,"290,358333342","40,56777779"
HD 181342 b,"2,9",HD 181342,"290,2666667","-23,6194444"
HD 11755 b,"6,5",HD 11755,"29,70833335","73,152500005"
HD 11964 b,"0,622",HD 11964,"29,2875","-10,2422222"
HD 11964 c,"0,079",HD 11964,"29,2875","-10,2422222"
WASP-71 b,"2,258",WASP-71,"29,2625","0,7589"
HD 180902 b,"1,6",HD 180902,"289,825","-23,5580556"
Kepler-77 b,"0,43",Kepler-77,"289,607971","44,345421"
WASP-123 b,"0,92",WASP-123,"289,479166685","-32,860000025"
KOI-195 b,"0,34",KOI-195,"289,433333348","49,473333348"
HATS-11 b,"0,85",HATS-11,"289,400000012","-22,390000013"
EPIC 219388192 b,"36,5",EPIC 219388192,"289,391666678","-16,871666688"
Kepler-46 b,"0,885",Kepler-46,"289,2708333","42,6041667"
Kepler-46 c,"0,362",Kepler-46,"289,2708333","42,6041667"
Kepler-22 b,"0,11",Kepler-22,"289,2166667","47,8844444"
HATS-12 b,"2,4",HATS-12,"289,204166683","-19,355833345"
Kepler-92 b,"0,189",Kepler-92,"289,0875","41,5631"
Kepler-92 c,"0,0179",Kepler-92,"289,0875","41,5631"
Kepler-16 (AB) b,"0,333",Kepler-16 (AB),"289,075","51,7575"
EPIC 218916923 b,"0,381",EPIC 218916923,"289,066666672","-17,910555582"
Kepler-60 b,"0,01317",Kepler-60,"288,9625","42,265"
Kepler-60 c,"0,0121",Kepler-60,"288,9625","42,265"
Kepler-60 d,"0,0131",Kepler-60,"288,9625","42,265"
HD 179949 b,"0,92",HD 179949,"288,8875","-24,1791667"
Kepler-103 b,"0,031",Kepler-103,"288,859541675","40,0645277904"
Kepler-103 c,"0,114",Kepler-103,"288,859541675","40,0645277904"
HD 180314 b,22,HD 180314,"288,7083333","31,8602778"
Kepler-65 c,"0,084",Kepler-65,"288,6875","41,1511358333"
Kepler-7 b,"0,433",Kepler-7,"288,5833333","41,0897222"
Kepler-131 b,"0,05075",Kepler-131,"288,530833336","40,9423055814"
Kepler-131 c,"0,026",Kepler-131,"288,530833336","40,9423055814"
Kepler-413 (AB) b,"0,210804518139",Kepler-413 (AB),"288,5125","51,1625"
Kepler-328 b,"0,069",Kepler-328,"288,3125","46,7714"
Kepler-328 c,"0,1",Kepler-328,"288,3125","46,7714"
KOI-192 b,"0,29",KOI-192,"288,254166667","43,705000018"
Kepler-150 f,"0,0283",Kepler-150,"288,23406975","40,520905"
Kepler-50 b,"0,1",Kepler-50,"288,1","50,0336"
Kepler-50 c,"0,11",Kepler-50,"288,1","50,0336"
FL Lyr b,9,FL Lyr,"288,020833335","46,324166679"
Kepler-113 b,"0,0368",Kepler-113,"287,99787502","50,9443333608"
Kepler-113 c,"0,027",Kepler-113,"287,99787502","50,9443333608"
Kepler-238 e,"0,626",Kepler-238,"287,8958","40,6378"
Kepler-238 f,"0,056",Kepler-238,"287,8958","40,6378"
Kepler-105 c,"0,014",Kepler-105,"287,88732915","46,276237"
HD 179079 b,"0,08",HD 179079,"287,7916667","-2,6383333"
Kepler-14 b,"8,4",Kepler-14,"287,7083333","47,3330556"
Kepler-20 b,"0,0305",Kepler-20,"287,7","42,3386111"
Kepler-20 c,"0,04012",Kepler-20,"287,7","42,3386111"
Kepler-20 d,"0,03168",Kepler-20,"287,7","42,3386111"
Kepler-20 e,"0,0097",Kepler-20,"287,7","42,3386111"
Kepler-20 f,"0,045",Kepler-20,"287,7","42,3386111"
Kepler-20 g,"0,0628",Kepler-20,"287,7","42,3386111"
Kepler-454 b,"0,0215",Kepler-454,"287,479166685","38,228888903"
Kepler-454 c,"4,46",Kepler-454,"287,479166685","38,228888903"
Kepler-279 c,"0,171",Kepler-279,"287,3917","42,195"
Kepler-279 d,"0,13",Kepler-279,"287,3917","42,195"
Kepler-21 b,"0,016",Kepler-21,"287,3625","38,7138889"
HD 180777 b,25,HD 180777,"287,2916667","76,5605556"
HD 178911 B b,"6,292",HD 178911 B,"287,2625","34,5997222"
Kepler-59 b,"2,05",Kepler-59,"287,0375","46,64"
Kepler-59 c,"1,37",Kepler-59,"287,0375","46,64"
Kepler-13 A b,"6,6",Kepler-13,"286,9708333","46,8683333"
Kepler-38 (AB) b,"0,38",Kepler-38 (AB),"286,8292","42,2792"
TrES-2 ,"1,253",TrES-2,"286,8083333","49,3163889"
Kepler-52 b,"8,7",Kepler-52,"286,7375","49,9758"
Kepler-52 c,"10,41",Kepler-52,"286,7375","49,9758"
Kepler-25 b,"0,028",Kepler-25,"286,6375","39,4877778"
Kepler-25 c,"0,045",Kepler-25,"286,6375","39,4877778"
Kepler-25 d,"0,282855614637",Kepler-25,"286,6375","39,4877778"
Kepler-277 b,"0,28",Kepler-277,"286,5833","39,0772"
Kepler-277 c,"0,21",Kepler-277,"286,5833","39,0772"
HATS-23 b,"1,47",HATS-23,"286,366666676","-50,067500002"
HD 177830 b,"1,49",HD 177830,"286,3333333","25,9205556"
HD 177830 c,"0,15",HD 177830,"286,3333333","25,9205556"
Kepler-12 b,"0,431",Kepler-12,"286,243445853","50,0403472285"
Kepler-412 b,"0,939",Kepler-412,"286,108333342","43,680833358"
Kepler-177 b,"0,00535",Kepler-177,"286,0458","45,0533"
Kepler-177 c,"0,0198",Kepler-177,"286,0458","45,0533"
TrES-1 ,"0,761",TrES-1,"286,0375","36,6325"
Kepler-10 b,"0,0104772991851",Kepler-10,"285,6791667","50,2413889"
Kepler-10 c,"0,0541183663676",Kepler-10,"285,6791667","50,2413889"
Kepler-91 b,"0,73",Kepler-91,"285,670833347","44,116666669"
Kepler-4 b,"0,082434005600478",Kepler-4,"285,6166667","50,1358333"
Kepler-9 b,"0,141899757732",Kepler-9,"285,575","38,4008333"
Kepler-9 c,"0,0975364188403",Kepler-9,"285,575","38,4008333"
Kepler-9 d,"0,016518264481",Kepler-9,"285,575","38,4008333"
Kepler-350 c,"0,0176",Kepler-350,"285,4208","39,7061"
Kepler-350 d,"0,048",Kepler-350,"285,4208","39,7061"
Kepler-30 b,"0,036",Kepler-30,"285,2833333","38,9472222"
Kepler-30 c,"2,01",Kepler-30,"285,2833333","38,9472222"
Kepler-30 d,"0,073",Kepler-30,"285,2833333","38,9472222"
HD 175607 b,"0,0283",HD 175607,"285,270833335","-66,192777789"
Kepler-447 b,"1,37",Kepler-447,"285,266666668","48,560000019"
Kepler-43 b,"3,23",Kepler-43,"285,2416667","46,6683333"
KOI-1843 b,"0,001",KOI-1843,"285,0125","40,2208"
HD 175167 b,"7,8",HD 175167,"285,0041667","-69,9441667"
EPIC 216468514 b,"0,84",EPIC 216468514,"284,985375019","-22,2934027915"
Kepler-26 b,"0,00875",Kepler-26,"284,9416667","46,5666667"
Kepler-26 c,"0,01949",Kepler-26,"284,9416667","46,5666667"
Kepler-408 b,"0,02",Kepler-408,"284,787500003","48,423055569"
Kepler-37 b,"0,00874681433471",Kepler-37,"284,59625","44,51817"
Kepler-37 c,"0,0314633609162",Kepler-37,"284,59625","44,51817"
Kepler-37 d,"0,0383853003178",Kepler-37,"284,59625","44,51817"
KELT-10 b,"0,679",KELT-10,"284,545833337","-47,003333336"
Kepler-95 b,"0,041",Kepler-95,"284,482458352","44,3980277972"
HATS-28 b,"0,672",HATS-28,"284,400000012","-49,138472229"
HAT-P-37 b,"1,169",HAT-P-37,"284,2958333","51,2691667"
HD 176051 b,"1,5",HD 176051,"284,2583333","32,9013889"
HD 175541 b,"0,61",HD 175541,"283,9208333","4,2652778"
KELT-8 b,"0,874",KELT-8,"283,304166671","24,127500011"
PZ Tel b,62,PZ Tel,"283,275","-50,1805556"
HD 175370 b,"4,6",HD 175370,"283,25","43,713611136"
Kepler-453 (AB) b,"0,03",Kepler-453 A,"283,241295853","46,378472239"
Kepler-62 b,"0,028",Kepler-62,"283,2125","45,3499"
Kepler-62 c,"0,0126",Kepler-62,"283,2125","45,3499"
Kepler-62 d,"0,044",Kepler-62,"283,2125","45,3499"
Kepler-62 e,"0,113",Kepler-62,"283,2125","45,3499"
Kepler-62 f,"0,11",Kepler-62,"283,2125","45,3499"
Kepler-338 b,"0,0963",Kepler-338,"282,9789429","40,784348"
Kepler-338 e,"0,027",Kepler-338,"282,9789429","40,784348"
Kepler-422 b,"0,43",Kepler-422,"282,62962501","46,3233611228"
Kepler-128 b,"0,0941",Kepler-128,"282,4917","43,9803"
Kepler-128 c,"0,104",Kepler-128,"282,4917","43,9803"
Kepler-446 b,"0,014",Kepler-446,"282,25","44,921111133"
Kepler-446 c,"0,009",Kepler-446,"282,25","44,921111133"
Kepler-446 d,"0,01",Kepler-446,"282,25","44,921111133"
HAT-P-57 b,"1,85",HAT-P-57,"282,241666686","10,597222245"
Kepler-102 b,"0,0013",Kepler-102,"281,482727","47,208031"
Kepler-102 c,"0,009",Kepler-102,"281,482727","47,208031"
Kepler-102 d,"0,0082",Kepler-102,"281,482727","47,208031"
Kepler-102 e,"0,0281",Kepler-102,"281,482727","47,208031"
Kepler-102 f,"0,002",Kepler-102,"281,482727","47,208031"
Kepler-8 b,"0,603",Kepler-8,"281,2875","42,4511111"
Kepler-94 b,"0,03411",Kepler-94,"281,194750016","47,4971389096"
Kepler-94 c,"9,836",Kepler-94,"281,194750016","47,4971389096"
CoRoT-6 b,"2,96",CoRoT-6,"281,075","6,6633333"
HD 173416 b,"2,7",HD 173416,"280,9","36,5566667"
CoRoT-9 b,"0,84",CoRoT-9,"280,7875","6,2041667"
CoRoT-11 b,"2,33",CoRoT-11,"280,6875","5,9377778"
CoRoT-22 b,"0,0383853003178",CoRoT-22,"280,66666668","6,225000011"
CoRoT-25 b,"0,27",CoRoT-25,"280,6292","6,5139"
HATS-21 b,"0,332",HATS-21,"280,183333348","-58,459166683"
HD 11977 b,"6,29",HD 11977,"28,7333333","-67,6472222"
HD 11506 b,"3,44",HD 11506,"28,2125","-19,5069444"
HD 11506 c,"0,82",HD 11506,"28,2125","-19,5069444"
CoRoT-23 b,"2,8",CoRoT-23,"279,782615","4,3578"
CoRoT-26 b,"0,52",CoRoT-26,"279,75","6,97"
CoRoT-33 b,"59,2",CoRoT-33,"279,641666678","5,624722241"
HIP 91258 b,"1,068",HIP 91258,"279,220833351","61,702500016"
CoRoT-29 b,"0,85",CoRoT-29,"278,9042","6,4797"
LSR J1835,55,LSR J1835,"278,75","32,983333353"
CoRoT-17 b,"2,43",CoRoT-17,"278,6958333","-6,6122222"
CoRoT-28 b,"0,484",CoRoT-28,"278,6875","5,5739"
HD 171238 b,"2,6",HD 171238,"278,6833333","-28,0722222"
WASP-3 b,"2,06",WASP-3,"278,6333333","35,6616667"
CoRoT-16 b,"0,535",CoRoT-16,"278,525","-6,0025"
CoRoT-27 b,"10,39",CoRoT-27,"278,4958","5,5386"
BD-11 4672 b,"0,53",BD-11 4672,"278,370833343","-11,636111126"
HD 171028 b,"1,98",HD 171028,"278,0625","6,9458333"
CoRoT-30 b,"2,84",CoRoT-30,"277,600000008","6,835833352"
HD 170469 b,"0,67",HD 170469,"277,2958333","11,6955556"
WISE 1828+2650,"10,25",WISE 1828+2650,"277,129529177","26,8438111362"
